snoring_range,respitory_range,temperature,limb_movement_rate,oxygen_in_blood,rapid_eye_movement,number_of_hours_of_sleep,heart_rate,stress_level,Date/Time (EST),sr_with_trend
84.44,23.184,90.592,13.48,88.592,96.48,0.592,67.96,3.0,2011-01-11 03:00:00,122.9137678855326
98.432,28.432,88.04,18.216,85.648,103.04,0.0,81.08,4.0,2011-01-11 04:00:00,137.0647503974563
80.96,22.256,90.128,12.32,88.128,95.32,0.128,65.64,3.0,2011-01-11 05:00:00,119.75173290937997
49.08,17.632,98.448,7.264,96.632,76.32,8.632,54.08,0.0,2011-01-11 06:00:00,88.03071542130365
86.96,23.856,90.928,14.32,88.928,97.32,0.928,69.64,3.0,2011-01-11 07:00:00,126.06969793322735
79.36,21.936,93.936,11.936,91.936,94.68,4.904,64.84,2.0,2011-01-11 08:00:00,118.62868044515105
81.2,22.32,90.16,12.4,88.16,95.4,0.16,65.8,3.0,2011-01-11 09:00:00,120.62766295707473
83.96,23.056,90.528,13.32,88.528,96.32,0.528,67.64,3.0,2011-01-11 10:00:00,123.5466454689984
51.36,18.272,94.272,8.272,92.408,80.68,5.272,55.68,1.0,2011-01-11 11:00:00,91.1056279809221
97.248,27.248,86.56,17.624,83.872,101.56,0.0,78.12,4.0,2011-01-11 12:00:00,137.15261049284578
60.16,20.016,92.016,10.016,90.016,85.08,2.024,60.04,2.0,2011-01-11 13:00:00,100.22359300476947
82.76,22.736,90.368,12.92,88.368,95.92,0.368,66.84,3.0,2011-01-11 14:00:00,122.98257551669317
51.12,18.224,94.224,8.224,92.336,80.56,5.224,55.56,1.0,2011-01-11 15:00:00,91.50155802861684
92.96,25.456,91.728,16.32,89.728,99.32,1.728,73.64,3.0,2011-01-11 16:00:00,133.50054054054053
74.88,21.488,93.488,11.488,91.488,92.44,4.232,63.72,2.0,2011-01-11 17:00:00,115.57952305246422
83.48,22.928,90.464,13.16,88.464,96.16,0.464,67.32,3.0,2011-01-11 18:00:00,124.33850556438793
97.632,27.632,87.04,17.816,84.448,102.04,0.0,79.08,4.0,2011-01-11 19:00:00,138.64948807631163
69.44,20.944,92.944,10.944,90.944,89.72,3.416,62.36,2.0,2011-01-11 20:00:00,110.6164705882353
99.872,29.872,89.84,18.936,87.808,104.84,0.0,84.68,4.0,2011-01-11 21:00:00,141.207453100159
81.92,22.512,90.256,12.64,88.256,95.64,0.256,66.28,3.0,2011-01-11 22:00:00,123.41443561208268
73.12,21.312,93.312,11.312,91.312,91.56,3.968,63.28,2.0,2011-01-11 23:00:00,114.77341812400637
48.88,17.552,98.328,7.104,96.552,75.52,8.552,53.88,0.0,2011-01-12 00:00:00,90.69240063593006
47.12,16.848,97.272,5.696,95.848,68.48,7.848,52.12,0.0,2011-01-12 01:00:00,89.09138314785375
56.16,19.232,95.232,9.232,93.848,83.08,6.232,58.08,1.0,2011-01-12 02:00:00,98.29036565977742
77.44,21.744,93.744,11.744,91.744,93.72,4.616,64.36,2.0,2011-01-12 03:00:00,119.7293481717011
84.8,23.28,90.64,13.6,88.64,96.6,0.64,68.2,3.0,2011-01-12 04:00:00,127.2483306836248
74.4,21.44,93.44,11.44,91.44,92.2,4.16,63.6,2.0,2011-01-12 05:00:00,117.0073131955485
77.92,21.792,93.792,11.792,91.792,93.96,4.688,64.48,2.0,2011-01-12 06:00:00,120.68629570747218
98.848,28.848,88.56,18.424,86.272,103.56,0.0,82.12,4.0,2011-01-12 07:00:00,141.77327821939588
99.04,29.04,88.8,18.52,86.56,103.8,0.0,82.6,4.0,2011-01-12 08:00:00,142.12426073131957
58.56,19.712,95.712,9.712,94.568,84.28,6.712,59.28,1.0,2011-01-12 09:00:00,101.80324324324324
46.64,16.656,96.984,5.312,95.656,66.56,7.656,51.64,0.0,2011-01-12 10:00:00,90.04222575516692
98.656,28.656,88.32,18.328,85.984,103.32,0.0,81.64,4.0,2011-01-12 11:00:00,142.21720826709063
51.92,18.384,94.384,8.384,92.576,80.96,5.384,55.96,1.0,2011-01-12 12:00:00,95.64019077901432
70.08,21.008,93.008,11.008,91.008,90.04,3.512,62.52,2.0,2011-01-12 13:00:00,113.959173290938
89.48,24.528,91.264,15.16,89.264,98.16,1.264,71.32,3.0,2011-01-12 14:00:00,133.51815580286168
96.928,26.928,86.16,17.464,83.392,101.16,0.0,77.32,4.0,2011-01-12 15:00:00,141.12513831478537
89.36,24.496,91.248,15.12,89.248,98.12,1.248,71.24,3.0,2011-01-12 16:00:00,133.71612082670907
94.28,25.808,91.904,16.76,89.904,99.76,1.904,74.52,3.0,2011-01-12 17:00:00,138.79510333863277
83.36,22.896,90.448,13.12,88.448,96.12,0.448,67.24,3.0,2011-01-12 18:00:00,128.03408585055644
45.36,16.144,96.216,4.288,95.144,61.44,7.144,50.36,0.0,2011-01-12 19:00:00,90.19306836248012
94.88,25.968,91.984,16.96,89.984,99.96,1.984,74.92,3.0,2011-01-12 20:00:00,139.8720508744038
47.24,16.896,97.344,5.792,95.896,68.96,7.896,52.24,0.0,2011-01-12 21:00:00,92.3910333863275
54.56,18.912,94.912,8.912,93.368,82.28,5.912,57.28,1.0,2011-01-12 22:00:00,99.8700158982512
89.84,24.624,91.312,15.28,89.312,98.28,1.312,71.56,3.0,2011-01-12 23:00:00,135.3089984101749
89.0,24.4,91.2,15.0,89.2,98.0,1.2,71.0,3.0,2011-01-13 00:00:00,134.62798092209857
88.28,24.208,91.104,14.76,89.104,97.76,1.104,70.52,3.0,2011-01-13 01:00:00,134.06696343402226
64.32,20.432,92.432,10.432,90.432,87.16,2.648,61.08,2.0,2011-01-13 02:00:00,110.26594594594594
96.48,26.48,85.6,17.24,82.72,100.6,0.0,76.2,4.0,2011-01-13 03:00:00,142.58492845786964
48.24,17.296,97.944,6.592,96.296,72.96,8.296,53.24,0.0,2011-01-13 04:00:00,94.50391096979334
97.344,27.344,86.68,17.672,84.016,101.68,0.0,78.36,4.0,2011-01-13 05:00:00,143.766893481717
45.88,16.352,96.528,4.704,95.352,63.52,7.352,50.88,0.0,2011-01-13 06:00:00,92.4618759936407
98.368,28.368,87.96,18.184,85.552,102.96,0.0,80.92,4.0,2011-01-13 07:00:00,145.1088585055644
49.68,17.872,98.808,7.744,96.872,78.72,8.872,54.68,0.0,2011-01-13 08:00:00,96.57984101748808
69.12,20.912,92.912,10.912,90.912,89.56,3.368,62.28,2.0,2011-01-13 09:00:00,116.17882352941177
59.52,19.904,95.904,9.904,94.856,84.76,6.904,59.76,1.0,2011-01-13 10:00:00,106.73780604133546
76.48,21.648,93.648,11.648,91.648,93.24,4.472,64.12,2.0,2011-01-13 11:00:00,123.85678855325915
53.12,18.624,94.624,8.624,92.936,81.56,5.624,56.56,1.0,2011-01-13 12:00:00,100.65577106518282
86.36,23.696,90.848,14.12,88.848,97.12,0.848,69.24,3.0,2011-01-13 13:00:00,134.0547535771065
49.36,17.744,98.616,7.488,96.744,77.44,8.744,54.36,0.0,2011-01-13 14:00:00,97.2137360890302
46.0,16.4,96.6,4.8,95.4,64.0,7.4,51.0,0.0,2011-01-13 15:00:00,94.01271860095389
91.76,25.136,91.568,15.92,89.568,98.92,1.568,72.84,3.0,2011-01-13 16:00:00,139.9317011128776
65.92,20.592,92.592,10.592,90.592,87.96,2.888,61.48,2.0,2011-01-13 17:00:00,114.25068362480127
62.56,20.256,92.256,10.256,90.256,86.28,2.384,60.64,2.0,2011-01-13 18:00:00,111.04966613672497
96.704,26.704,85.88,17.352,83.056,100.88,0.0,76.76,4.0,2011-01-13 19:00:00,145.35264864864865
72.32,21.232,93.232,11.232,91.232,91.16,3.848,63.08,2.0,2011-01-13 20:00:00,121.12763116057234
90.92,24.912,91.456,15.64,89.456,98.64,1.456,72.28,3.0,2011-01-13 21:00:00,139.88661367249603
48.8,17.52,98.28,7.04,96.52,75.2,8.52,53.8,0.0,2011-01-13 22:00:00,97.92559618441972
85.04,23.344,90.672,13.68,88.672,96.68,0.672,68.36,3.0,2011-01-13 23:00:00,134.32457869634342
71.04,21.104,93.104,11.104,91.104,90.52,3.656,62.76,2.0,2011-01-14 00:00:00,120.4835612082671
55.92,19.184,95.184,9.184,93.776,82.96,6.184,57.96,1.0,2011-01-14 01:00:00,105.52254372019078
45.56,16.224,96.336,4.448,95.224,62.24,7.224,50.56,0.0,2011-01-14 02:00:00,95.32152623211448
56.8,19.36,95.36,9.36,94.04,83.4,6.36,58.4,1.0,2011-01-14 03:00:00,106.72050874403816
49.8,17.92,98.88,7.84,96.92,79.2,8.92,54.8,0.0,2011-01-14 04:00:00,99.87949125596185
95.0,26.0,92.0,17.0,90.0,100.0,2.0,75.0,3.0,2011-01-14 05:00:00,145.23847376788552
87.2,23.92,90.96,14.4,88.96,97.4,0.96,69.8,3.0,2011-01-14 06:00:00,137.59745627980922
82.52,22.672,90.336,12.84,88.336,95.84,0.336,66.68,3.0,2011-01-14 07:00:00,133.07643879173293
48.0,17.2,97.8,6.4,96.2,72.0,8.2,53.0,0.0,2011-01-14 08:00:00,98.7154213036566
91.16,24.976,91.488,15.72,89.488,98.72,1.488,72.44,3.0,2011-01-14 09:00:00,142.03440381558028
96.032,26.032,85.04,17.016,82.048,100.04,0.0,75.08,4.0,2011-01-14 10:00:00,147.06538632750397
71.52,21.152,93.152,11.152,91.152,90.76,3.728,62.88,2.0,2011-01-14 11:00:00,122.71236883942767
96.064,26.064,85.08,17.032,82.096,100.08,0.0,75.16,4.0,2011-01-14 12:00:00,147.41535135135135
89.6,24.56,91.28,15.2,89.28,98.2,1.28,71.4,3.0,2011-01-14 13:00:00,141.11033386327506
99.68,29.68,89.6,18.84,87.52,104.6,0.0,84.2,4.0,2011-01-14 14:00:00,151.34931637519873
57.6,19.52,95.52,9.52,94.28,83.8,6.52,58.8,1.0,2011-01-14 15:00:00,109.42829888712242
70.72,21.072,93.072,11.072,91.072,90.36,3.608,62.68,2.0,2011-01-14 16:00:00,122.70728139904611
49.4,17.76,98.64,7.52,96.76,77.6,8.76,54.4,0.0,2011-01-14 17:00:00,101.5462639109698
74.08,21.408,93.408,11.408,91.408,92.04,4.112,63.52,2.0,2011-01-14 18:00:00,126.38524642289349
96.992,26.992,86.24,17.496,83.488,101.24,0.0,77.48,4.0,2011-01-14 19:00:00,149.45622893481718
49.2,17.68,98.52,7.36,96.68,76.8,8.68,54.2,0.0,2011-01-14 20:00:00,101.82321144674086
51.04,18.208,94.208,8.208,92.312,80.52,5.208,55.52,1.0,2011-01-14 21:00:00,103.82219395866454
84.68,23.248,90.624,13.56,88.624,96.56,0.624,68.12,3.0,2011-01-14 22:00:00,137.62117647058824
98.464,28.464,88.08,18.232,85.696,103.08,0.0,81.16,4.0,2011-01-14 23:00:00,151.5641589825119
46.24,16.496,96.744,4.992,95.496,64.96,7.496,51.24,0.0,2011-01-15 00:00:00,99.4991414944356
50.72,18.144,94.144,8.144,92.216,80.36,5.144,55.36,1.0,2011-01-15 01:00:00,104.1381240063593
47.52,17.008,97.512,6.016,96.008,70.08,8.008,52.52,0.0,2011-01-15 02:00:00,101.097106518283
47.08,16.832,97.248,5.664,95.832,68.32,7.832,52.08,0.0,2011-01-15 03:00:00,100.81608903020668
89.12,24.432,91.216,15.04,89.216,98.04,1.216,71.08,3.0,2011-01-15 04:00:00,143.01507154213039
45.6,16.24,96.36,4.48,95.24,62.4,7.24,50.6,0.0,2011-01-15 05:00:00,99.65405405405406
45.68,16.272,96.408,4.544,95.272,62.72,7.272,50.68,0.0,2011-01-15 06:00:00,99.89303656597775
64.16,20.416,92.416,10.416,90.416,87.08,2.624,61.04,2.0,2011-01-15 07:00:00,118.53201907790142
92.12,25.232,91.616,16.04,89.616,99.04,1.616,73.08,3.0,2011-01-15 08:00:00,146.6510015898251
72.64,21.264,93.264,11.264,91.264,91.32,3.896,63.16,2.0,2011-01-15 09:00:00,127.3299841017488
97.28,27.28,86.6,17.64,83.92,101.6,0.0,78.2,4.0,2011-01-15 10:00:00,152.1289666136725
49.56,17.824,98.736,7.648,96.824,78.24,8.824,54.56,0.0,2011-01-15 11:00:00,104.56794912559619
59.44,19.888,95.888,9.888,94.832,84.72,6.888,59.72,1.0,2011-01-15 12:00:00,114.60693163751988
92.36,25.296,91.648,16.12,89.648,99.12,1.648,73.24,3.0,2011-01-15 13:00:00,147.68591414944356
97.44,27.44,86.8,17.72,84.16,101.8,0.0,78.6,4.0,2011-01-15 14:00:00,152.92489666136726
80.72,22.192,90.096,12.24,88.096,95.24,0.096,65.48,3.0,2011-01-15 15:00:00,136.36387917329094
99.936,29.936,89.92,18.968,87.904,104.92,0.0,84.84,4.0,2011-01-15 16:00:00,155.73886168521463
99.168,29.168,88.96,18.584,86.752,103.96,0.0,82.92,4.0,2011-01-15 17:00:00,155.1298441971383
85.16,23.376,90.688,13.72,88.688,96.72,0.688,68.44,3.0,2011-01-15 18:00:00,141.280826709062
97.696,27.696,87.12,17.848,84.544,102.12,0.0,79.24,4.0,2011-01-15 19:00:00,153.9758092209857
75.84,21.584,93.584,11.584,91.584,92.92,4.376,63.96,2.0,2011-01-15 20:00:00,132.27879173290938
45.0,16.0,96.0,4.0,95.0,60.0,7.0,50.0,0.0,2011-01-15 21:00:00,101.59777424483308
98.496,28.496,88.12,18.248,85.744,103.12,0.0,81.24,4.0,2011-01-15 22:00:00,155.25275675675675
64.0,20.4,92.4,10.4,90.4,87.0,2.6,61.0,2.0,2011-01-15 23:00:00,120.91573926868045
81.32,22.352,90.176,12.44,88.176,95.44,0.176,65.88,3.0,2011-01-16 00:00:00,138.39472178060413
75.52,21.552,93.552,11.552,91.552,92.76,4.328,63.88,2.0,2011-01-16 01:00:00,132.7537042925278
52.0,18.4,94.4,8.4,92.6,81.0,5.4,56.0,1.0,2011-01-16 02:00:00,109.3926868044515
66.4,20.64,92.64,10.64,90.64,88.2,2.96,61.6,2.0,2011-01-16 03:00:00,123.9516693163752
71.84,21.184,93.184,11.184,91.184,90.92,3.776,62.96,2.0,2011-01-16 04:00:00,129.5506518282989
99.072,29.072,88.84,18.536,86.608,103.84,0.0,82.68,4.0,2011-01-16 05:00:00,156.94163434022258
49.24,17.696,98.544,7.392,96.696,76.96,8.696,54.24,0.0,2011-01-16 06:00:00,107.26861685214627
86.48,23.728,90.864,14.16,88.864,97.16,0.864,69.32,3.0,2011-01-16 07:00:00,144.66759936406996
46.04,16.416,96.624,4.832,95.416,64.16,7.416,51.04,0.0,2011-01-16 08:00:00,104.38658187599364
58.96,19.792,95.792,9.792,94.688,84.48,6.792,59.48,1.0,2011-01-16 09:00:00,117.46556438791734
92.24,25.264,91.632,16.08,89.632,99.08,1.632,73.16,3.0,2011-01-16 10:00:00,150.90454689984102
97.472,27.472,86.84,17.736,84.208,101.84,0.0,78.68,4.0,2011-01-16 11:00:00,156.2955294117647
93.92,25.712,91.856,16.64,89.856,99.64,1.856,74.28,3.0,2011-01-16 12:00:00,152.9025119236884
67.84,20.784,92.784,10.784,90.784,88.92,3.176,61.96,2.0,2011-01-16 13:00:00,126.98149443561209
46.28,16.512,96.768,5.024,95.512,65.12,7.512,51.28,0.0,2011-01-16 14:00:00,105.58047694753577
90.2,24.72,91.36,15.4,89.36,98.4,1.36,71.8,3.0,2011-01-16 15:00:00,149.65945945945947
50.4,18.08,94.08,8.08,92.12,80.2,5.08,55.2,1.0,2011-01-16 16:00:00,110.01844197138314
70.88,21.088,93.088,11.088,91.088,90.44,3.632,62.72,2.0,2011-01-16 17:00:00,130.65742448330684
97.792,27.792,87.24,17.896,84.688,102.24,0.0,79.48,4.0,2011-01-16 18:00:00,157.72840699523053
47.96,17.184,97.776,6.368,96.184,71.84,8.184,52.96,0.0,2011-01-16 19:00:00,108.05538950715422
56.24,19.248,95.248,9.248,93.872,83.12,6.248,58.12,1.0,2011-01-16 20:00:00,116.4943720190779
96.16,26.16,85.2,17.08,82.24,100.2,0.0,75.4,4.0,2011-01-16 21:00:00,156.5733545310016
55.12,19.024,95.024,9.024,93.536,82.56,6.024,57.56,1.0,2011-01-16 22:00:00,115.69233704292529
61.92,20.192,92.192,10.192,90.192,85.96,2.288,60.48,2.0,2011-01-16 23:00:00,122.65131955484898
48.08,17.232,97.848,6.464,96.232,72.32,8.232,53.08,0.0,2011-01-17 00:00:00,108.97030206677266
84.32,23.152,90.576,13.44,88.576,96.44,0.576,67.88,3.0,2011-01-17 01:00:00,145.36928457869635
47.32,16.928,97.392,5.856,95.928,69.28,7.928,52.32,0.0,2011-01-17 02:00:00,108.52826709062003
53.04,18.608,94.608,8.608,92.912,81.52,5.608,56.52,1.0,2011-01-17 03:00:00,114.40724960254373
57.12,19.424,95.424,9.424,94.136,83.56,6.424,58.56,1.0,2011-01-17 04:00:00,118.64623211446741
84.92,23.312,90.656,13.64,88.656,96.64,0.656,68.28,3.0,2011-01-17 05:00:00,146.6052146263911
55.04,19.008,95.008,9.008,93.512,82.52,6.008,57.52,1.0,2011-01-17 06:00:00,116.88419713831479
99.968,29.968,89.96,18.984,87.952,104.96,0.0,84.92,4.0,2011-01-17 07:00:00,161.97117965023847
57.92,19.584,95.584,9.584,94.376,83.96,6.584,58.96,1.0,2011-01-17 08:00:00,120.08216216216218
96.896,26.896,86.12,17.448,83.344,101.12,0.0,77.24,4.0,2011-01-17 09:00:00,159.21714467408586
50.8,18.16,94.16,8.16,92.24,80.4,5.16,55.4,1.0,2011-01-17 10:00:00,113.28012718600954
98.56,28.56,88.2,18.28,85.84,103.2,0.0,81.4,4.0,2011-01-17 11:00:00,161.19910969793324
51.84,18.368,94.368,8.368,92.552,80.92,5.368,55.92,1.0,2011-01-17 12:00:00,114.63809220985692
49.72,17.888,98.832,7.776,96.888,78.88,8.888,54.72,0.0,2011-01-17 13:00:00,112.6770747217806
83.84,23.024,90.512,13.28,88.512,96.28,0.512,67.56,3.0,2011-01-17 14:00:00,146.95605723370429
86.84,23.824,90.912,14.28,88.912,97.28,0.912,69.56,3.0,2011-01-17 15:00:00,150.115039745628
85.4,23.44,90.72,13.8,88.72,96.8,0.72,68.6,3.0,2011-01-17 16:00:00,148.83402225755168
80.36,22.096,90.048,12.12,88.048,95.12,0.048,65.24,3.0,2011-01-17 17:00:00,143.95300476947534
85.64,23.504,90.752,13.88,88.752,96.88,0.752,68.76,3.0,2011-01-17 18:00:00,149.39198728139905
96.512,26.512,85.64,17.256,82.768,100.64,0.0,76.28,4.0,2011-01-17 19:00:00,160.42296979332275
78.72,21.872,93.872,11.872,91.872,94.36,4.808,64.68,2.0,2011-01-17 20:00:00,142.78995230524643
62.72,20.272,92.272,10.272,90.272,86.36,2.408,60.68,2.0,2011-01-17 21:00:00,126.94893481717011
84.2,23.12,90.56,13.4,88.56,96.4,0.56,67.8,3.0,2011-01-17 22:00:00,148.58791732909378
56.4,19.28,95.28,9.28,93.92,83.2,6.28,58.2,1.0,2011-01-17 23:00:00,120.94689984101748
83.24,22.864,90.432,13.08,88.432,96.08,0.432,67.16,3.0,2011-01-18 00:00:00,147.94588235294117
90.68,24.848,91.424,15.56,89.424,98.56,1.424,72.12,3.0,2011-01-18 01:00:00,155.54486486486488
76.16,21.616,93.616,11.616,91.616,93.08,4.424,64.04,2.0,2011-01-18 02:00:00,141.18384737678855
48.2,17.28,97.92,6.56,96.28,72.8,8.28,53.2,0.0,2011-01-18 03:00:00,113.38282988871225
97.856,27.856,87.32,17.928,84.784,102.32,0.0,79.64,4.0,2011-01-18 04:00:00,163.19781240063594
98.688,28.688,88.36,18.344,86.032,103.36,0.0,81.72,4.0,2011-01-18 05:00:00,164.18879491255962
52.24,18.448,94.448,8.448,92.672,81.12,5.448,56.12,1.0,2011-01-18 06:00:00,117.89977742448332
50.16,18.032,94.032,8.032,92.048,80.08,5.032,55.08,1.0,2011-01-18 07:00:00,115.978759936407
45.72,16.288,96.432,4.576,95.288,62.88,7.288,50.72,0.0,2011-01-18 08:00:00,111.69774244833069
59.12,19.824,95.824,9.824,94.736,84.56,6.824,59.56,1.0,2011-01-18 09:00:00,125.25672496025439
97.152,27.152,86.44,17.576,83.728,101.44,0.0,77.88,4.0,2011-01-18 10:00:00,163.44770747217808
81.8,22.48,90.24,12.6,88.24,95.6,0.24,66.2,3.0,2011-01-18 11:00:00,148.25468998410176
49.88,17.952,98.928,7.904,96.952,79.52,8.952,54.88,0.0,2011-01-18 12:00:00,116.49367249602545
52.16,18.432,94.432,8.432,92.648,81.08,5.432,56.08,1.0,2011-01-18 13:00:00,118.93265500794914
98.624,28.624,88.28,18.312,85.936,103.28,0.0,81.56,4.0,2011-01-18 14:00:00,165.55563751987282
98.4,28.4,88.0,18.2,85.6,103.0,0.0,81.0,4.0,2011-01-18 15:00:00,165.4906200317965
47.84,17.136,97.704,6.272,96.136,71.36,8.136,52.84,0.0,2011-01-18 16:00:00,115.0896025437202
48.52,17.408,98.112,6.816,96.408,74.08,8.408,53.52,0.0,2011-01-18 17:00:00,115.92858505564388
56.0,19.2,95.2,9.2,93.8,83.0,6.2,58.0,1.0,2011-01-18 18:00:00,123.56756756756758
58.72,19.744,95.744,9.744,94.616,84.36,6.744,59.36,1.0,2011-01-18 19:00:00,126.44655007949126
48.04,17.216,97.824,6.432,96.216,72.16,8.216,53.04,0.0,2011-01-18 20:00:00,115.92553259141494
99.744,29.744,89.68,18.872,87.616,104.68,0.0,84.36,4.0,2011-01-18 21:00:00,167.78851510333863
47.36,16.944,97.416,5.888,95.944,69.44,7.944,52.36,0.0,2011-01-18 22:00:00,115.56349761526232
97.824,27.824,87.28,17.912,84.736,102.28,0.0,79.56,4.0,2011-01-18 23:00:00,166.186480127186
66.56,20.656,92.656,10.656,90.656,88.28,2.984,61.64,2.0,2011-01-19 00:00:00,135.0814626391097
49.84,17.936,98.904,7.872,96.936,79.36,8.936,54.84,0.0,2011-01-19 01:00:00,118.52044515103339
72.16,21.216,93.216,11.216,91.216,91.08,3.824,63.04,2.0,2011-01-19 02:00:00,140.9994276629571
84.08,23.088,90.544,13.36,88.544,96.36,0.544,67.72,3.0,2011-01-19 03:00:00,153.07841017488076
72.8,21.28,93.28,11.28,91.28,91.4,3.92,63.2,2.0,2011-01-19 04:00:00,141.95739268680444
77.12,21.712,93.712,11.712,91.712,93.56,4.568,64.28,2.0,2011-01-19 05:00:00,146.43637519872814
99.456,29.456,89.32,18.728,87.184,104.32,0.0,83.64,4.0,2011-01-19 06:00:00,168.93135771065184
88.16,24.176,91.088,14.72,89.088,97.72,1.088,70.44,3.0,2011-01-19 07:00:00,157.7943402225755
52.88,18.576,94.576,8.576,92.864,81.44,5.576,56.44,1.0,2011-01-19 08:00:00,122.67332273449921
97.888,27.888,87.36,17.944,84.832,102.36,0.0,79.72,4.0,2011-01-19 09:00:00,167.8403052464229
54.08,18.816,94.816,8.816,93.224,82.04,5.816,57.04,1.0,2011-01-19 10:00:00,124.19128775834659
57.36,19.472,95.472,9.472,94.208,83.68,6.472,58.68,1.0,2011-01-19 11:00:00,127.63027027027027
51.2,18.24,94.24,8.24,92.36,80.6,5.24,55.6,1.0,2011-01-19 12:00:00,121.62925278219397
63.36,20.336,92.336,10.336,90.336,86.68,2.504,60.84,2.0,2011-01-19 13:00:00,133.94823529411764
97.984,27.984,87.48,17.992,84.976,102.48,0.0,79.96,4.0,2011-01-19 14:00:00,168.73121780604134
98.752,28.752,88.44,18.376,86.128,103.44,0.0,81.88,4.0,2011-01-19 15:00:00,169.65820031796503
82.4,22.64,90.32,12.8,88.32,95.8,0.32,66.6,3.0,2011-01-19 16:00:00,153.4651828298887
66.24,20.624,92.624,10.624,90.624,88.12,2.936,61.56,2.0,2011-01-19 17:00:00,137.46416534181242
49.76,17.904,98.856,7.808,96.904,79.04,8.904,54.76,0.0,2011-01-19 18:00:00,121.14314785373608
59.84,19.968,95.968,9.968,94.952,84.92,6.968,59.92,1.0,2011-01-19 19:00:00,131.3821303656598
87.92,24.112,91.056,14.64,89.056,97.64,1.056,70.28,3.0,2011-01-19 20:00:00,159.62111287758347
52.48,18.496,94.496,8.496,92.744,81.24,5.496,56.24,1.0,2011-01-19 21:00:00,124.34009538950716
87.32,23.952,90.976,14.44,88.976,97.44,0.976,69.88,3.0,2011-01-19 22:00:00,159.33907790143084
55.44,19.088,95.088,9.088,93.632,82.72,6.088,57.72,1.0,2011-01-19 23:00:00,127.61806041335454
52.96,18.592,94.592,8.592,92.888,81.48,5.592,56.48,1.0,2011-01-20 00:00:00,125.29704292527822
54.24,18.848,94.848,8.848,93.272,82.12,5.848,57.12,1.0,2011-01-20 01:00:00,126.73602543720193
53.76,18.752,94.752,8.752,93.128,81.88,5.752,56.88,1.0,2011-01-20 02:00:00,126.4150079491256
99.584,29.584,89.48,18.792,87.376,104.48,0.0,83.96,4.0,2011-01-20 03:00:00,172.3979904610493
78.88,21.888,93.888,11.888,91.888,94.44,4.832,64.72,2.0,2011-01-20 04:00:00,151.85297297297296
97.952,27.952,87.44,17.976,84.928,102.44,0.0,79.88,4.0,2011-01-20 05:00:00,171.08395548489665
57.52,19.504,95.504,9.504,94.256,83.76,6.504,58.76,1.0,2011-01-20 06:00:00,130.81093799682034
99.712,29.712,89.64,18.856,87.568,104.64,0.0,84.28,4.0,2011-01-20 07:00:00,173.16192050874406
60.8,20.08,92.08,10.08,90.08,85.4,2.12,60.2,2.0,2011-01-20 08:00:00,134.4089030206677
69.92,20.992,92.992,10.992,90.992,89.96,3.488,62.48,2.0,2011-01-20 09:00:00,143.68788553259142
51.52,18.304,94.304,8.304,92.456,80.76,5.304,55.76,1.0,2011-01-20 10:00:00,125.4468680445151
91.28,25.008,91.504,15.76,89.504,98.76,1.504,72.52,3.0,2011-01-20 11:00:00,165.3658505564388
86.12,23.632,90.816,14.04,88.816,97.04,0.816,69.08,3.0,2011-01-20 12:00:00,160.3648330683625
76.32,21.632,93.632,11.632,91.632,93.16,4.448,64.08,2.0,2011-01-20 13:00:00,150.72381558028616
56.32,19.264,95.264,9.264,93.896,83.16,6.264,58.16,1.0,2011-01-20 14:00:00,130.88279809220987
45.4,16.16,96.24,4.32,95.16,61.6,7.16,50.4,0.0,2011-01-20 15:00:00,120.12178060413353
48.92,17.568,98.352,7.136,96.568,75.68,8.568,53.92,0.0,2011-01-20 16:00:00,123.80076311605724
94.16,25.776,91.888,16.72,89.888,99.72,1.888,74.44,3.0,2011-01-20 17:00:00,169.19974562798092
51.76,18.352,94.352,8.352,92.528,80.88,5.352,55.88,1.0,2011-01-20 18:00:00,126.95872813990462
45.92,16.368,96.552,4.736,95.368,63.68,7.368,50.92,0.0,2011-01-20 19:00:00,121.2777106518283
91.04,24.944,91.472,15.68,89.472,98.68,1.472,72.36,3.0,2011-01-20 20:00:00,166.55669316375202
54.8,18.96,94.96,8.96,93.44,82.4,5.96,57.4,1.0,2011-01-20 21:00:00,130.4756756756757
49.96,17.984,98.976,7.968,96.984,79.84,8.984,54.96,0.0,2011-01-20 22:00:00,125.79465818759937
51.28,18.256,94.256,8.256,92.384,80.64,5.256,55.64,1.0,2011-01-20 23:00:00,127.27364069952306
99.36,29.36,89.2,18.68,87.04,104.2,0.0,83.4,4.0,2011-01-21 00:00:00,175.51262321144674
47.76,17.104,97.656,6.208,96.104,71.04,8.104,52.76,0.0,2011-01-21 01:00:00,124.07160572337042
46.96,16.784,97.176,5.568,95.784,67.84,7.784,51.96,0.0,2011-01-21 02:00:00,123.43058823529412
92.6,25.36,91.68,16.2,89.68,99.2,1.68,73.4,3.0,2011-01-21 03:00:00,169.2295707472178
68.16,20.816,92.816,10.816,90.816,89.08,3.224,62.04,2.0,2011-01-21 04:00:00,144.94855325914148
61.28,20.128,92.128,10.128,90.128,85.64,2.192,60.32,2.0,2011-01-21 05:00:00,138.2275357710652
96.832,26.832,86.04,17.416,83.248,101.04,0.0,77.08,4.0,2011-01-21 06:00:00,173.93851828298887
